===============================================================================
(2, 3)
Convenient and common, but also Fibonacci powers 

Critical Pair 	| pq(n) 			| pq(n+2)/pq(n+1)
2^1 3^1 	| 6                             | 6
61^45 59^46 	| 62955707804596690293707800324 | 3599
61^46 59^47 	| 22657759238874348836705437336 | 3599
61^47 59^48 	| 81545275500708781463302868975 | 3599
61^48 59^49 	| 29348144652705090448642702544 | 3599
61^49 59^50 	| 10562397260508562052466508645 | 3599
61^50 59^51 	| 38014067740570314826826964615 | 3599
61^51 59^52 	| 13681262979831256306175024565 | 3599
61^52 59^53 	| 49238865464412691445923913410 | 3599
61^53 59^54 	| 17721067680642127651388016436 | 3599
61^54 59^55 	| 63778122582631017417345471154 | 3599
61^55 59^56 	| 22953746317488903168502635068 | 3599
61^56 59^57 	| 82610532996642562503440983611 | 3599
61^57 59^58 	| 29731530825491658244988410001 | 3599
61^58 59^59 	| 10700377944094447802371328759 | 3599
61^59 59^60 	| 38510660220795917640734412205 | 3599
61^60 59^61 	| 13859986613464450758900314952 | 3599
61^61 59^62 	| 49882091821858558281282233515 | 3599
61^62 59^63 	| 17952564846686895125433475842 | 3599
61^63 59^64 	| 64611280883226135556435079556 | 3599
61^64 59^65 	| 23253599989873086186760985132 | 3599
61^65 59^66 	| 83689706363553237186152785490 | 3599
61^66 59^67 	| 30119925320242810063296387498 | 3599
61^67 59^68 	| 10840161122755387341780369860 | 3599
61^68 59^69 	| 39013739880796639043067551128 | 3599
61^69 59^70 	| 14041044983098710391600011651 | 3599
61^70 59^71 	| 50533720894172258699368441932 | 3599
61^71 59^72 	| 18187086149812595905902702251 | 3599
61^72 59^73 	| 65455323053175532665343825402 | 3599
61^73 59^74 	| 23557370766837874206257242762 | 3599
61^74 59^75 	| 84782977389849509268319816702 | 3599
61^75 59^76 	| 30513393562606838385668302031 | 3599
61^76 59^77 	| 10981770343182201135002021900 | 3599
61^77 59^78 	| 39523391465112741884872276821 | 3599
61^78 59^79 	| 14224468588294075804365532428 | 3599
61^79 59^80 	| 51193862449270378819911551208 | 3599
61^80 59^81 	| 18424671095492409337286167280 | 3599
61^81 59^82 	| 66310391272677181204892916040 | 3599
61^82 59^83 	| 23865109819036517515640960483 | 3599
61^83 59^84 	| 85890530238712426538791816778 | 3599
61^84 59^85 	| 30912001832912602311311174858 | 3599
61^85 59^86 	| 11125229459665245571840891831 | 3599
61^86 59^87 	| 40039700825335218813055369702 | 3599
61^87 59^88 	| 14410288327038145250818627555 | 3599
61^88 59^89 	| 51862627689010284757696240573 | 3599
61^89 59^90 	| 18665359705274801484294876982 | 3599
61^90 59^91 	| 67176629579284010541977262259 | 3599
61^91 59^92 	| 24176868985584315394057616687 | 3599
61^92 59^93 	| 87012551479117951103213362456 | 3599
61^93 59^94 	| 31315817277334550602046489148 | 3599
61^94 59^95 	| 11270562638112704761676531444 | 3599
61^95 59^96 	| 40562754934567624437273836668 | 3599
61^96 59^97 	| 14598535500950888034974853817 | 3599
61^97 59^98 	| 52540129267922246037874498887 | 3599
61^98 59^99 	| 18909192523525216349031032149 | 3599
61^99 59^100 	| 68054183892167253640162684706 | 3599
61^100 59^101 	| 24492700782790994585094550225 | 3599
61^101 59^102 	| 88149230117264789511755286262 | 3599
61^102 59^103 	| 31724907919203597745280727525 | 3599
61^103 59^104 	| 11417794360121374828526533836 | 3599
61^104 59^105 	| 41092641902076828007866995277 | 3599
61^105 59^106 	| 14789241820557450400031331600 | 3599
61^106 59^107 	| 53226481312186263989712762430 | 3599
61^107 59^108 	| 19156210624255836409897623198 | 3599
61^108 59^109 	| 68943202036696755239221545892 | 3599
61^109 59^110 	| 24812658413007162210595834366 | 3599
61^110 59^111 	| 89300757628412776795934407885 | 3599
61^111 59^112 	| 32139342670465758368856793397 | 3599
61^112 59^113 	| 11566949427100626436951559943 | 3599
61^113 59^114 	| 41629450988135154546588664238 | 3599
61^114 59^115 	| 14982439410629842121317260259 | 3599
61^115 59^116 	| 53921799438856801794620819673 | 3599
61^116 59^117 	| 19406455618044562965884033000 | 3599
61^117 59^118 	| 69843833769342382114216634768 | 3599
61^118 59^119 	| 25136795773586323322906566853 | 3599
61^119 59^120 	| 90467327989137177639140734104 | 3599
61^120 59^121 	| 32559191343290470232326750204 | 3599
61^121 59^122 	| 11718052964450240236614397398 | 3599
61^122 59^123 	| 42173272619056414611575216237 | 42173272619056414611575216237
59^124 61^123 	| 15178160815598403618705920323 | 42173272619056414611575216237
59^247 61^245 	| 64011271393211113347971905702 | 42173272619056414611575216237
59^370 61^367 	| 26995647991582994000566127456 | 26995647991582994000566127456
61^489 59^493 	| 11384948222771123723457831544 |
61^856 59^863 	| 30734405462432766310860840999 |

===============================================================================
(2,61)
Fairly far apart primes

Critical Pair 	| pq(n) 			| pq(n+2)/pq(n+1)
2^1 2^2 	| 8                             | 4
2^2 2^3 	| 32                            | 4
2^3 2^4 	| 128                           | 3
2^4 2^5 	| 512                           | 2
2^5 61^1 	| 1952                          | 1952
61^1 2^6 	| 3904                          | 3904
2^11 61^2 	| 7620608                       | 3904
2^17 61^3 	| 29750853632                   | 3904
2^23 61^4 	| 116147332579328               | 3904
2^29 61^5 	| 453439186389696512            | 3904
2^35 61^6 	| 1770226583665375182848        | 3904
2^41 61^7 	| 6910964582629624713838592     | 3904
2^47 61^8 	| 26980405730586054882825863168 | 3904
2^53 61^9 	| 10533150397220795826255216980 | 3904
2^59 61^10 	| 41121419150749986905700367092 | 3904
2^65 61^11 	| 16053802036452794887985423313 | 3904
2^71 61^12 	| 62674043150311711242695092614 | 3904
2^77 61^13 	| 24467946445881692069148164156 | 3904
2^83 61^14 	| 95522862924722125837954432867 | 95522862924722125837954432867
61^15 2^89 	| 37292125685811517927137410591 | 95522862924722125837954432867
61^29 2^172 	| 35622506100572827261642841635 | 35622506100572827261642841635
2^255 61^43 	| 34027637672800958684609524942 | 35622506100572827261642841635
2^427 61^72 	| 12121497305874339133366361479 | 35622506100572827261642841635
2^599 61^101 	| 43179811172658573572054700539 |
61^130 2^771 	| 15381730869196127632801063487 |

===============================================================================
(2,17)
Primes which are nearly powers of one another, 2^4 ≈ 17 

Critical Pair 	| pq(n) 			| pq(n+2)/pq(n+1)
2^1 2^2 	| 8                             | 4
2^2 2^3 	| 32                            | 2
2^3 2^4 	| 128                           | 2
2^4 17^1 	| 272                           | 272
17^1 2^5 	| 544                           | 272
17^2 2^9 	| 147968                        | 272
17^3 2^13 	| 40247296                      | 272
17^4 2^17 	| 10947264512                   | 272
17^5 2^21 	| 2977655947264                 | 272
17^6 2^25 	| 809922417655808               | 272
17^7 2^29 	| 220298897602379776            | 272
17^8 2^33 	| 59921300147847299072          | 272
17^9 2^37 	| 16298593640214465347584       | 272
17^10 2^41 	| 4433217470138334574542848     | 272
17^11 2^45 	| 1205835151877627004275654656  | 1205835151877627004275654656
2^49 17^12 	| 32798716131071454516297806643 | 1205835151877627004275654656
2^94 17^23 	| 39549844847301722130649428383 | 39549844847301722130649428383
17^34 2^139 	| 47690593168182655900876041957 | 39549844847301722130649428383
17^57 2^233 	| 18861555604774115252186756148 | 39549844847301722130649428383
17^80 2^327 	| 74597159774757045945011759692 | 74597159774757045945011759692
2^421 17^103 	| 29503060951410182482329011184 |
2^748 17^183 	| 22008445516367410059034930465 |





